Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Thailand,34.0,6.455,6.300235271,9.578331947,0.906098127,65.94000244,0.8469328279999999,0.37302619200000003,0.908612072,0.702815235,3.52294116,0.686576,9.003516296,6.0,5.0,74.60119512,99.0,258.0,1.0,6.4,Asia,6.58,4.166666667,9.398,7.040579901,5491915221.0
Tunisia,107.0,4.739,4.463531017,9.249967575,0.614422798,65.45999908,0.567737222,-0.188796028,0.899453163,0.435219467,6.60642299,0.11273661,0.9656789651000001,1.0,3.0,74.97597561,51.0,3.0,20.0,1.3,Africa,6.4,8.333333332999999,8.9,6.813875534,681225950.6
Turkey,76.0,5.332000000000001,5.309076309,9.917490959,0.7392805809999999,64.87999725,0.47090321799999996,-0.22047071199999999,0.701850235,0.53099966,4.47785046,0.78271472,17.55,3.0,4.0,75.42621951,51.0,22.0,7.0,1.4,Asia,6.99,5.833333333,8.222000000000001,6.687992677,17958240406.0
Uganda,141.0,3.931,4.309237957,7.383019924,0.884721696,52.04000092,0.649463236,0.091249466,0.8375458720000001,0.396223307,7.89319139,0.4014487,1.057301392,6.0,5.0,59.17907317,45.0,9.0,0.0,8.3,Africa,7.28,5.833333333,7.196000000000001,7.968029637000001,351838247.0
Ukraine,111.0,4.681,5.030342102,9.026679039,0.897573471,62.79999924,0.5636497739999999,-0.203787565,0.8962370159999999,0.236936122,7.11666043,0.45154029,3.05,3.0,3.0,71.1895122,206.0,237.0,45.0,8.9,Europe,6.24,6.666666667,9.888,6.588028733,4136888486.0
United Kingdom,21.0,6.867000000000001,6.880784035,10.51577282,0.934574962,71.45999908,0.888970494,0.367420435,0.425169915,0.421262175,8.33916884,0.65128861,58.450557091,1.0,1.0,81.60487805,219.0,126.0,195.0,10.4,Europe,7.91,8.333333332999999,9.436,8.069761664,58495656721.0
United States,15.0,7.119,7.026226997,10.83013153,0.903192282,68.66000366,0.822662294,0.20624339600000002,0.71003443,0.348855615,16.36637753,3.20896618,379.0,1.0,1.0,78.74146341,249.0,158.0,84.0,8.7,North America,7.88,8.333333332999999,9.586,8.388109262,685000000000.0
Uruguay,32.0,6.485,6.449728489,9.824302673,0.864693701,68.27999878,0.870590031,0.05741559,0.615349591,0.584287286,8.76402574,0.03431552,1.369314228,1.0,1.0,77.13821951,115.0,35.0,220.0,6.6,South America,7.34,4.166666667,8.38,6.733924697000001,924640335.6
Venezuela,23.0,6.81,7.066577435,9.780121803,0.931629658,65.77999878,0.80410856,-0.20164363100000002,0.743374348,0.539273024,5.44087389,0.31155134,3.764,5.0,5.0,74.40960976,333.0,100.0,3.0,7.7,South America,3.82,1.6666666669999999,5.7860000000000005,4.048325086,5114847100.0
Vietnam,75.0,5.36,5.53456974,8.480765343,0.775008678,66.81999969,0.856053472,-0.108108044,0.814884901,0.8564537170000001,6.27841012,0.917133,11.8,7.0,5.0,75.77773171,111.0,2.0,1.0,2.0,Asia,6.4,6.666666667,8.182,6.560864737,3360860380.0
Zambia,85.0,5.129,5.013374805,8.163204193,0.780022562,51.58000183,0.787760317,-0.0030851190000000003,0.806394398,0.5941137670000001,3.93052913,0.16100587,1.582666667,3.0,4.0,60.78568293,32.0,19.0,4.0,2.5,Africa,7.19,6.666666667,8.684,6.875480838,346301423.1
Zimbabwe,115.0,4.61,4.955100536000001,7.534424305,0.896476209,49.54000092,0.469531178,-0.075712129,0.8586905,0.407083839,6.86862124,0.15777451,0.3992,5.0,5.0,59.16107317,64.0,18.0,4.0,4.7,Africa,5.06,5.0,9.2156,3.611441104,318272000.0
